"Senior Secondary Completion and Achievement Information, 2024",,,,,,,,,,,,,,,,,,,,,,,,
Craigieburn Secondary College,,CRAIGIEBURN,35,9,-,Y,,,,283,159,-,-,76,96,33,< 4,82,-,21,0.7,-,,
Cranbourne East Sec College,,CRANBOURNE EAST,62,43,-,Y,Y,,,404,404,5,-,61,97,117,< 4,81,-,30,3.5,13,,
Cranbourne Secondary College,,CRANBOURNE,54,31,-,Y,,,,304,255,< 4,-,67,97,68,-,87,-,24,0.3,-,,
Croydon Community School,*,CROYDON,11,15,-,Y,Y,,,18,28,< 4,-,9,82,9,-,87,-,-,-,< 4,,
Damascus College,,MOUNT CLEAR,58,39,-,Y,Y,,Y,232,238,< 4,-,64,99,28,< 4,81,-,29,3.7,-,,
Dandenong High School,,DANDENONG,60,21,-,Y,Y,,,313,113,< 4,-,73,95,27,5,77,-,25,1.7,12,,
Darul Ulum College of Victoria,,FAWKNER,17,1,-,,,,,148,65,-,-,59,100,-,-,100,-,31,7.3,-,,
Daylesford Secondary College,,DAYLESFORD,37,14,-,Y,Y,,,87,61,4,-,49,97,13,< 4,83,-,29,3.5,< 4,,
De La Salle College,,MALVERN,46,16,-,Y,,,,184,68,< 4,-,80,100,14,11,96,-,30,5.0,-,,
Derrinallum P12 College,*,DERRINALLUM,8,3,-,Y,Y,,,6,5,-,-,-,100,< 4,-,95,-,I/D,I/D,-,,
Diamond Valley College,,DIAMOND CREEK,52,35,2,Y,,,,133,126,4,< 4,56,100,18,-,76,I/D,25,0.7,-,,
Dimboola Memorial Sec College,,DIMBOOLA,19,12,-,Y,Y,,,25,20,< 4,-,46,91,< 4,-,92,-,29,5.1,< 4,,
Divrei Emineh,*,ORMOND,7,2,-,Y,,,,16,16,-,-,-,100,9,-,60,-,-,-,-,,
Djerriwarrh Community College,*,MELTON,5,12,-,Y,Y,,,12,32,-,-,9,91,8,-,70,-,-,-,8,,
Donald High School,,DONALD,24,11,2,Y,Y,,,32,23,-,< 4,64,100,5,-,62,I/D,29,8.3,-,,
Doncaster Secondary College,,DONCASTER,59,32,8,Y,,,,263,95,9,4,74,98,7,17,97,75,32,13.0,-,,
Donvale Christian College,,DONVALE,56,26,8,,,,,248,69,< 4,5,86,99,-,7,98,75,33,10.7,-,,
Dromana Secondary College,,DROMANA,56,40,5,Y,,,,390,272,12,4,58,100,53,4,100,80,32,8.7,-,,
Drouin Secondary College,,DROUIN,50,45,6,Y,Y,,,207,174,24,< 4,43,98,34,< 4,100,I/D,25,1.1,< 4,,
Eaglehawk Secondary College,*,EAGLEHAWK,1,2,-,,,,,15,28,-,-,-,-,-,-,69,-,-,-,-,,
East Doncaster Sec College,,DONCASTER EAST,60,29,-,Y,Y,,,355,67,5,-,94,99,4,22,75,-,32,12.9,< 4,,
East Loddon P-12 College,,DINGEE,32,13,-,Y,,,,28,21,4,-,65,88,< 4,-,64,-,28,1.7,-,,
East Preston Islamic College,,PRESTON,9,1,-,,,,,23,9,-,-,33,83,-,-,100,-,21,0.0,-,,
Echuca College,,ECHUCA,43,26,-,Y,,,,130,166,8,-,51,99,7,-,78,-,24,0.7,-,,
Edenhope College,*,EDENHOPE,18,9,-,Y,Y,,,11,11,-,-,33,100,< 4,-,83,-,25,0.0,< 4,,
Edgars Creek Secondary College,,WOLLERT,38,29,4,Y,Y,,,189,123,-,< 4,61,88,26,< 4,67,I/D,26,1.0,< 4,,
Edinburgh College,,LILYDALE,21,7,-,,,,,54,40,-,-,68,100,-,< 4,87,-,28,1.0,-,,
Elevation Secondary College,,CRAIGIEBURN,9,18,-,,,,,55,100,4,-,-,-,-,-,66,-,30,9.4,-,,
Elisabeth Murdoch College,,LANGWARRIN,86,59,8,Y,Y,,,377,504,31,7,40,100,76,-,88,100,31,10.8,-,,
Eltham College,,RESEARCH,42,15,6,,,,,124,91,-,< 4,92,100,-,< 4,99,I/D,31,9.0,-,,
Eltham High School,,ELTHAM,64,27,10,Y,Y,,,343,99,-,5,66,99,4,10,84,100,29,5.3,< 4,,
Elwood College,,ELWOOD,55,20,6,,Y,,,193,35,-,4,70,99,< 4,8,88,100,31,9.3,-,,
Emerald Secondary College,,EMERALD,38,20,6,Y,Y,,,122,64,< 4,< 4,52,100,16,-,90,I/D,28,1.6,< 4,,
Emmanuel College,,ALTONA NORTH,67,33,2,Y,Y,,,464,341,6,< 4,74,99,50,7,97,I/D,28,4.6,< 4,,
Emmanuel College,,WARRNAMBOOL,55,31,2,Y,Y,,,244,175,15,< 4,69,98,26,5,88,I/D,30,6.4,< 4,,
Emmaus College,,VERMONT SOUTH,61,40,2,Y,,,,308,226,19,< 4,73,100,28,6,84,I/D,31,9.8,-,,
Epping Secondary College,,EPPING,51,28,-,Y,Y,,,252,184,-,-,62,98,53,-,83,-,28,5.2,17,,
Essendon Keilor College,,ESSENDON,32,25,-,Y,Y,,,132,96,9,-,65,97,35,< 4,71,-,26,2.3,< 4,,
Euroa Secondary College,,EUROA,36,29,-,Y,,,,95,106,6,-,39,90,9,-,82,-,26,2.8,-,,
F.C.J. College,,BENALLA,50,21,2,Y,Y,,,102,80,10,< 4,52,100,10,< 4,48,I/D,28,1.1,-,,
Fairhills High School,,KNOXFIELD,36,25,4,Y,,,,70,63,5,< 4,56,93,14,< 4,89,I/D,26,0.0,-,,
Federation University Australia,,BALLARAT,11,16,-,Y,Y,,,22,29,< 4,-,-,88,13,-,68,-,-,-,-,,
Fintona Girls School,,BALWYN,31,5,-,,,,,99,5,-,-,96,100,-,24,68,-,36,26.4,-,,
Firbank Grammar School,,BRIGHTON,37,9,-,,,,,213,17,-,-,100,100,-,17,100,-,34,19.2,-,,
Fitzroy High School,,FITZROY NORTH,56,27,2,Y,Y,,,130,58,4,< 4,74,93,6,-,62,I/D,28,3.7,< 4,,
Flinders Christian Comm College,,TYABB,45,22,-,Y,,,,77,48,< 4,-,76,100,5,-,92,-,29,2.3,-,,
Flinders Christian Comm College,,CARRUM DOWNS,44,21,-,Y,,,,109,28,6,-,74,100,7,-,93,-,29,4.6,-,,
Footscray High School,,FOOTSCRAY,49,17,-,Y,,,,278,127,< 4,-,70,99,17,4,67,-,29,4.2,-,,
Forest Hill College,,BURWOOD EAST,44,20,2,Y,,,,133,83,-,< 4,58,94,15,-,87,I/D,29,2.1,-,,
Foster Secondary College,,FOSTER,36,24,-,Y,,,,54,59,14,-,45,90,7,-,64,-,30,3.0,-,,
Foundation College,,NARRE WARREN,10,14,-,Y,Y,,,23,46,-,-,-,100,11,-,49,-,-,-,10,,
Foundation College,*,FRANKSTON,5,10,-,Y,Y,,,4,24,-,-,100,100,< 4,-,45,-,-,-,< 4,,
Foundation Learning Centre,*,NARRE WARREN,4,2,-,Y,,,,6,14,-,-,-,50,< 4,-,22,-,-,-,-,,
Fountain Gate Sec College,,FOUNTAIN GATE,56,39,-,Y,,,,306,337,5,-,55,97,60,-,85,-,28,1.8,-,,
Frankston High School,,FRANKSTON,80,35,2,Y,Y,,,490,212,5,< 4,69,99,16,14,84,I/D,31,9.6,-,,
Galen College,,WANGARATTA,44,26,-,Y,,,,232,207,17,-,57,98,26,< 4,92,-,28,3.5,-,,
Geelong Baptist College,,LOVELY BANKS,33,16,-,Y,,,,53,19,< 4,-,44,87,< 4,-,98,-,24,2.5,-,,
Geelong Grammar School,,CORIO,45,10,16,Y,,Y,,242,44,-,8,85,99,6,9,99,94,32,8.7,-,,
Geelong High School,,EAST GEELONG,46,25,6,Y,,,,160,109,< 4,< 4,44,99,7,-,88,I/D,27,5.1,-,,
Geelong Lutheran College,,ARMSTRONG CREEK,43,19,2,Y,Y,,,119,36,4,< 4,61,100,10,< 4,75,I/D,30,6.2,-,,
Genazzano F.C.J. College,,KEW,41,8,4,,,,,190,20,-,< 4,100,100,< 4,15,97,I/D,34,19.6,-,,
Gilson College,,TAYLORS HILL,37,8,-,Y,Y,,,108,108,-,-,79,100,7,< 4,96,-,27,2.9,-,,
Gippsland Grammar,,SALE,42,15,2,,,,,140,69,-,< 4,78,99,-,5,95,I/D,31,9.8,-,,
Girton Grammar School,,BENDIGO,44,8,2,Y,Y,,,186,16,-,< 4,80,100,4,5,80,I/D,31,9.4,< 4,,
Gisborne Secondary College,,GISBORNE,68,41,2,Y,Y,,,215,248,20,< 4,49,100,45,< 4,61,I/D,27,0.8,< 4,,
Gladstone Park Sec College,,GLADSTONE PARK,53,25,-,Y,,,,309,163,< 4,-,71,97,26,-,68,-,27,3.9,-,,
Glen Eira College,,CAULFIELD EAST,50,25,4,Y,,,,159,63,-,< 4,79,98,8,8,86,I/D,31,6.5,-,,
Glen Waverley Sec College,,GLEN WAVERLEY,71,25,4,Y,,,,650,52,-,< 4,96,100,4,67,85,I/D,33,14.1,-,,
Gleneagles Secondary College,,ENDEAVOUR HILLS,66,30,7,Y,Y,,,377,151,6,5,68,99,40,< 4,97,100,29,3.2,< 4,,
Glenroy Secondary College,,GLENROY,29,14,-,Y,Y,,,77,45,< 4,-,51,100,11,-,55,-,19,0.0,-,,
Glenroy Private,*,GLENROY,8,-,-,,,,,9,-,-,-,100,100,-,-,-,-,23,0.0,-,,
Good News Lutheran College,,TARNEIT,36,13,4,Y,,,,132,23,-,4,99,99,-,4,97,100,31,7.4,-,,
Good Shepherd College,,HAMILTON,19,10,-,Y,,,,29,20,8,-,47,88,4,-,87,-,24,0.0,-,,
Gordon Institute of TAFE,,GEELONG,21,22,-,Y,Y,,,58,52,< 4,-,33,92,9,-,93,-,24,1.6,< 4,,
Goulburn Ovens Inst of TAFE,*,SHEPPARTON,7,5,-,Y,Y,,,13,15,-,-,-,69,< 4,-,77,-,-,-,10,,
Goulburn Valley Grammar Schl,,SHEPPARTON,27,4,-,,,,,138,5,< 4,-,96,100,-,9,47,-,34,17.9,-,,
Grace Christian College Wodonga,*,LENEVA,11,8,-,Y,Y,Y,,11,15,-,-,27,100,5,-,91,-,-,-,-,,
Greater Shepparton Sec College,,SHEPPARTON,72,51,2,Y,Y,,,329,404,26,< 4,49,92,51,-,71,I/D,23,1.3,10,,
Greensborough Sec College,,GREENSBOROUGH,33,14,-,Y,,,,106,88,< 4,-,62,95,17,-,66,-,27,2.9,-,,
Grovedale College,,GROVEDALE,41,23,-,Y,Y,,,136,105,8,-,49,98,21,-,91,-,25,1.1,< 4,,
Haileybury - Pangea Campus,,KEYSBOROUGH,22,1,8,,,,,54,< 4,-,4,83,100,-,< 4,I/D,100,32,18.4,-,,
Haileybury College,,KEYSBOROUGH,50,4,2,,,,Y,576,18,-,< 4,94,100,-,47,93,I/D,36,26.3,-,,
Haileybury Girls College,,KEYSBOROUGH,52,7,2,,,,Y,434,29,-,< 4,98,100,-,53,90,I/D,36,29.9,-,,
Haileybury Rendall School,,BERRIMAH,36,11,-,Y,Y,,,106,39,-,-,55,98,5,< 4,80,-,31,11.0,8,,
Hallam Senior Sec College,,HALLAM,45,27,-,Y,Y,,,185,135,5,-,31,92,25,-,53,-,25,0.6,< 4,,
Hampton Park Sec College,,HAMPTON PARK,51,35,-,Y,Y,,,226,196,22,-,50,95,57,-,67,-,29,1.8,14,,
Hawkesdale College,,HAWKESDALE,16,12,-,,Y,,,24,18,< 4,-,38,100,-,-,97,-,28,0.0,< 4,,
Hazel Glen College,,DOREEN,47,39,2,Y,Y,,,285,286,< 4,< 4,58,99,43,-,91,I/D,26,2.7,-,,
Healesville High School,,HEALESVILLE,33,21,-,Y,,,,67,47,< 4,-,62,88,4,-,87,-,27,1.6,-,,
Heathdale Christian College,,WERRIBEE,45,15,-,Y,,,,164,125,-,-,96,100,8,11,92,-,30,5.6,-,,
Heathmont College,,HEATHMONT,53,32,-,Y,,,,165,84,20,-,49,98,13,4,80,-,25,0.7,-,,
Heritage College,,OFFICER,20,9,-,Y,,,,31,14,-,-,80,96,< 4,-,95,-,27,0.9,-,,
Hester Hornbrook Academy,,SOUTH MELBOURNE,9,23,-,Y,Y,,,44,244,< 4,-,14,30,11,-,34,-,-,-,14,,
Heywood & District Sec College,*,HEYWOOD,21,11,-,Y,Y,,,16,17,< 4,-,-,89,< 4,-,100,-,26,0.0,< 4,,
Highvale Secondary College,,GLEN WAVERLEY,48,23,-,,,,,234,38,-,-,86,98,-,9,81,-,29,7.3,-,,
Highview Christian Comm College,,MARYBOROUGH,30,13,-,Y,,,,69,44,6,-,52,100,12,-,96,-,26,5.5,-,,
Hillcrest Christian College,,CLYDE NORTH,46,23,-,Y,,,,137,53,< 4,-,86,100,5,5,79,-,29,3.4,-,,
Holmes Grammar School,,MELBOURNE,16,1,-,Y,,,,25,10,-,-,39,96,9,-,90,-,28,0.0,-,,
Holmesglen Institute,,MOORABBIN,14,28,-,Y,Y,,,58,154,< 4,-,5,80,32,-,77,-,-,-,16,,
Holy Trinity Lutheran College,,HORSHAM,30,15,-,Y,,,,54,21,4,-,64,100,4,-,98,-,30,8.8,-,,
Homestead Senior Sec College,,POINT COOK,33,24,-,Y,,,,138,39,-,-,72,99,11,< 4,97,-,27,2.9,-,,
Hopetoun P-12 College,*,HOPETOUN,16,11,-,Y,Y,,,15,10,< 4,-,-,100,< 4,-,92,-,27,0.0,< 4,,
Hoppers Crossing Sec College,,HOPPERS CROSSING,51,28,18,Y,,,,225,119,7,13,67,97,20,< 4,82,89,28,2.0,-,,
Horsham College,,HORSHAM,52,38,-,Y,Y,,,199,178,19,-,38,93,23,< 4,96,-,29,5.2,< 4,,
Hume Anglican Grammar,,MICKLEHAM,34,4,-,,,,,166,6,-,-,92,100,-,7,95,-,30,9.4,-,,
Hume Central Sec College,,BROADMEADOWS,40,25,2,Y,Y,,,193,165,22,< 4,78,100,26,-,84,I/D,27,1.9,15,,
Huntingtower School,,MOUNT WAVERLEY,34,3,-,,,,,182,34,-,-,99,100,-,21,100,-,37,31.7,-,,
Ignatius Learning Centre,,RICHMOND,-,3,-,,Y,,,-,13,-,-,-,-,-,-,-,-,-,-,4,,
Ilim College,,BROADMEADOWS,20,-,-,,,,,116,-,-,-,94,100,-,-,-,-,27,5.2,-,,
Ilim College Kiewa Campus,,DALLAS,20,7,-,,,,,124,8,-,-,82,100,-,-,73,-,27,4.5,-,,
Ilim College,*,DOVETON,7,-,-,,,,,12,-,-,-,100,100,-,-,-,-,32,3.6,-,,
Indie School Wodonga,,WODONGA,24,40,-,Y,Y,,,202,1442,< 4,-,2,80,108,-,36,-,I/D,I/D,< 4,,
Iona College Geelong,,CHARLEMONT,11,29,-,,,,,65,75,8,-,-,-,-,-,93,-,33,6.1,-,,
Irymple Secondary College,*,IRYMPLE,1,10,-,,,,,7,33,-,-,-,-,-,-,92,-,-,-,-,,
Islamic College of Melbourne,,TARNEIT,21,10,-,,,Y,,153,227,-,-,100,100,-,-,99,-,31,12.7,-,,
Ivanhoe Girls' Grammar School,,IVANHOE,39,3,-,,,,,230,56,-,-,99,100,-,14,86,-,35,21.2,-,,
Ivanhoe Grammar School,,IVANHOE,34,2,2,,,Y,,275,< 4,-,< 4,95,100,-,8,I/D,I/D,34,17.8,-,,
Ivanhoe Grammar School,,MERNDA,30,9,-,,,,,121,11,-,-,92,100,-,10,92,-,33,16.0,-,,
John Fawkner College,,FAWKNER,21,11,-,Y,,,,43,32,< 4,-,28,59,-,-,48,-,20,2.3,-,,
John Monash Science School,,CLAYTON,45,8,10,,,,,442,12,-,13,99,100,-,46,100,100,36,22.5,-,,
John Paul College,,FRANKSTON,44,34,2,Y,,,,214,116,< 4,< 4,67,96,28,-,80,I/D,28,4.6,-,,
Wyndham Comm & Educ Centre,*,WERRIBEE,7,5,-,Y,Y,,,10,31,-,-,-,88,7,-,89,-,-,-,7,,
Kambrya College,,BERWICK,63,37,4,Y,Y,,,355,291,4,< 4,66,99,65,7,85,I/D,31,5.6,< 4,,
Kaniva P-12 College,*,KANIVA,18,10,2,Y,Y,,,13,19,< 4,< 4,38,100,< 4,-,100,I/D,24,0.0,-,,
Kardinia Internatl College,,BELL POST HILL,50,22,7,,,Y,,330,61,-,5,89,100,-,19,100,100,32,12.6,-,,
Keilor Downs College,,KEILOR DOWNS,69,37,-,Y,Y,,,275,199,11,-,82,96,35,19,71,-,30,5.2,-,,
Kensington Comm High School,,KENSINGTON,11,10,-,Y,Y,,,31,45,< 4,-,-,82,5,-,13,-,-,-,-,,
Kerang Christian College,*,KERANG,9,-,-,,,,,18,-,-,-,60,100,-,-,-,-,29,15.9,-,,
Kerang Technical High School,,KERANG,26,15,2,,Y,,,36,45,8,< 4,41,100,-,-,65,I/D,26,2.6,-,,
Kew High School,,KEW EAST,55,24,4,Y,,,,285,81,< 4,< 4,95,100,15,12,95,I/D,30,7.1,-,,
Keysborough SC - Acacia,,KEYSBOROUGH,56,30,11,Y,,,,180,76,7,6,76,99,16,< 4,74,91,28,2.6,-,,
Keysborough SC - Banksia,,SPRINGVALE SOUTH,49,25,-,Y,Y,,,184,84,< 4,-,73,100,7,4,70,-,26,2.3,5,,
Kilbreda College,,MENTONE,47,24,-,Y,,,,211,88,-,-,82,100,21,< 4,94,-,32,10.3,-,,
Killester College,,SPRINGVALE,43,9,2,Y,Y,,,190,67,-,< 4,96,100,4,< 4,97,I/D,30,5.3,4,,
Kilvington Grammar School,,ORMOND,38,7,2,,,,,159,9,-,< 4,99,100,-,16,100,I/D,33,18.3,-,,
Kings College,,WARRNAMBOOL,18,8,-,,,,,30,14,-,-,44,100,-,-,88,-,29,6.1,-,,
Kingswood College,,BOX HILL,42,16,-,,,,,108,62,-,-,92,100,-,7,88,-,32,11.8,-,,
Kolbe Catholic College,,GREENVALE,45,21,2,Y,Y,,,250,312,< 4,< 4,81,100,23,< 4,83,I/D,27,4.8,< 4,,
Koo Wee Rup Sec College,,KOO WEE RUP,46,27,-,Y,,,,184,137,17,-,59,99,38,-,82,-,27,3.2,-,,
Koonung Secondary College,,MONT ALBERT NORTH,58,30,4,Y,Y,,,261,69,-,< 4,84,97,12,23,84,I/D,32,9.8,< 4,,
Korowa Anglican Girls' School,,GLEN IRIS,36,10,2,,,,,170,18,-,< 4,100,100,-,35,72,I/D,35,21.2,-,,
Korumburra Sec College,,KORUMBURRA,33,18,-,Y,,,,64,49,< 4,-,41,97,10,-,99,-,25,0.7,-,,
Kurnai College,,CHURCHILL,56,35,-,Y,Y,,,183,222,7,-,40,98,30,-,68,-,24,0.8,9,,
Kurunjang Secondary College,,MELTON,37,23,-,Y,Y,,,130,94,7,-,61,98,25,-,86,-,24,2.3,7,,
Kyabram P-12 College,,KYABRAM,36,26,2,Y,,,,81,93,5,< 4,36,98,9,-,98,I/D,23,0.0,-,,
Kyneton Secondary College,,KYNETON,26,20,-,Y,Y,,,113,124,12,-,46,100,12,< 4,100,-,27,1.3,< 4,,
Lakes Entrance Sec College,*,LAKES ENTRANCE,15,13,-,Y,,,,18,28,< 4,-,15,90,10,-,100,-,27,0.0,-,,
Lakeside Lutheran College,,PAKENHAM,20,4,-,,,,,35,4,-,-,87,100,-,< 4,69,-,25,0.9,-,,
Lakeview Senior College,,CAROLINE SPRINGS,66,35,-,Y,Y,,,360,205,83,-,68,97,52,< 4,76,-,27,2.3,-,,
Lalor North Sec College,,EPPING,34,27,-,Y,,,,61,66,< 4,-,59,89,11,< 4,55,-,23,0.0,-,,
Lalor Secondary College,,LALOR,50,25,-,Y,,,,185,107,< 4,-,69,98,28,< 4,73,-,26,2.3,-,,
Lara Secondary College,,LARA,32,26,-,Y,,,,95,99,4,-,25,92,16,-,40,-,25,1.5,-,,
Lauriston Girls School,,ARMADALE,33,5,2,,,Y,,153,5,-,4,100,100,-,16,74,100,35,20.3,-,,
Lavalla Catholic College,,TRARALGON,50,23,-,Y,Y,,,220,117,-,-,70,100,17,< 4,84,-,30,4.4,9,,
Lavers Hill K-12 College,*,LAVERS HILL,4,7,-,,Y,,,4,13,-,-,-,-,-,-,83,-,I/D,I/D,4,,
Laverton P-12 College,,LAVERTON,28,15,-,Y,,,,54,49,-,-,84,100,12,< 4,84,-,24,3.7,-,,
Leibler Yavneh College,,ELSTERNWICK,29,5,-,Y,,,,124,97,-,-,96,100,-,< 4,100,-,35,23.6,-,,
Leongatha Secondary College,,LEONGATHA,45,29,-,Y,,,,129,109,8,-,60,99,28,-,79,-,29,1.0,-,,
Lighthouse Christian College,,KEYSBOROUGH,32,10,-,Y,,,,67,18,-,-,88,100,5,-,95,-,30,3.2,-,,
